TRANSECT STRING,
>,
QUAD,4
ACRONYM,   COVER
ARITRI,1
ASTSAD,4
ELYVIL,2
ELYVIR,15
EUPPUR,30
GEUCAN,5
HELHIR,8
HYSPAT,3
RANSEP,3
SCRMAR,20
SILSTE,2
SOLALT,20
SOLULM,5
SPHINT,1
ZIZAUR,1
>,
QUAD,5
ACRONYM,   COVER
AGRPER,2
ASTLAT,1
CINARU,50
CORRAC,1
ELYVIR,4
EUPPUR,25
GEUCAN,10
HELHIR,20
HERMAX,2
LEEVIR,1
OXAEUR,1
PENDIG,15
RUDTRI,4
SCRMAR,1
SILSTE,2
SOLALT,5
SPHINT,60
ZIZAUR,1
>,
QUAD,6
ACRONYM,   COVER
AMPBRB,12
ARITRI,3
BROPUB,5
CXBLAN,4
CINARU,15
CIRLUC,2
FESOBT,1
GEUCAN,10
GLYSTR,1
HELHIR,20
HERMAX,1
MONFIS,2
PILPUM,4
POTSIS,4
RANSEP,8
RHACAT,4
RUBIDS,8
RUBOCC,5
SCRMAR,3
SOLALT,10
SPHINT,1
ZIZAUR,1
>,
QUAD,7
ACRONYM,   COVER
ASTSHO,1
BROPUB,1
CINARU,3
ELYVIR,2
FESOBT,5
FRAVIR,4
GERMAC,4
GEUCAN,15
HACVIR,10
OXAEUR,3
PREALB,1
RHACAT,12
RHAFRA,2
SCRMAR,75
>,
QUAD,8
ACRONYM,   COVER
AQUCAN,1
ARITRI,1
ASTSHO,4
CINARU,5
CIRARV,1
ELYVIR,1
EREHIE,1
GERMAC,3
OXAEUR,2
RHACAT,75
SCRMAR,3
SMISTE,5
SMIECI,1
SOLCAE,3
SOLULM,3
TRIREC,1
VITRIP,1
>,
QUAD,9
ACRONYM,   COVER
ARITRI,3
ASTLAT,2
ASTSHO,2
BIDFRO,2
BROPUB,2
CINARU,3
CIRLUC,10
CIRARV,1
CORRAC,20
GEUCAN,5
POTSIS,5
RANSEP,25
RHACAT,8
RHAFRA,5
SOLCAE,2
>,
QUAD,10
ACRONYM,   COVER
ASTMAC,10
CINARU,2
ELYVIR,1
GEUCAN,8
PREALB,4
PRUSER,2
RHACAT,30
RHAFRA,2
RUBIDS,8
RUBOCC,10
SCRMAR,5
SOLDUL,2
SOLCAE,4
SOLFLE,1
>,
QUAD,11
ACRONYM,   COVER
CIRLUC,1
CORRAC,15
FRAVIR,2
GEUCAN,10
HYSPAT,1
OXAEUR,10
PREALB,1
PRUVIR,1
RHAFRA,10
RHURAD,1
RUBIDS,10
SILSTE,1
SOLDUL,2
TAROFF,1
TRIPER,40
VITRIP,1
ZIZAUR,5
>,
QUAD,12
ACRONYM,   COVER
ALLPET,1
ARITRI,1
CXBLAN,4
CXNORM,5
CXTENE,2
CIRARV,10
CORRAC,30
ELYVIR,2
FRAVIR,2
GERMAC,1
HELHIR,8
MONFIS,8
PHYVIV,4
POTSIS,1
PRUSER,15
RHAFRA,1
RUBFLA,8
RUBIDS,5
RUBOCC,10
RUDSUB,6
SCRMAR,5
SMISTE,1
SMIECI,1
SOLALT,30
SOLGRN,2
THADAD,10
VIOSOR,1
>,
QUAD,15
ACRONYM,   COVER
ARITRI,3
ASTMAC,2
ASTSHO,5
BROPUB,5
CINARU,2
CIRARV,1
CRYCAN,7
EUPMAM,25
EUPPUR,60
FESOBT,1
GEUCAN,5
LONTAT,2
OXAEUR,2
OXYRIG,1
POTSIS,2
PREALB,1
SMIECI,5
SOLDUL,1
SOLALT,2
SOLCAE,2
SOLULM,2
TRIREC,1
>,
QUAD,16
ACRONYM,   COVER
ALLCAN,1
ARITRI,1
CAROVT,5
RHACAT,3
SMIECI,1
SOLDUL,1
>,
QUAD,20
ACRONYM,   COVER
ALLCAN,8
ASTSHO,1
BIDFRO,1
CIRARV,20
CIRDIS,4
CIRVUL,10
EREHIE,1
FRAVIR,2
GEUCAN,5
OXAEUR,4
RHACAT,15
RUBFLA,5
RUBIDS,20
SCRMAR,2
SMILAS,1
SOLAME,1
SOLDUL,1
SOLALT,5
TRAOHI,1
>,
QUAD,21
ACRONYM,   COVER
ALLCAN,5
ASTSAD,2
ASTSHO,2
CINARU,1
CIRLUC,1
ERIANS,2
EUPPUR,2
FESOBT,10
GEUCAN,8
HYSPAT,5
OXAEUR,1
RATPIN,1
RHAFRA,1
SCRMAR,20
SMISTE,1
SMIECI,1
SOLDUL,2
SOLCAE,1
SOLJUN,2
SOLULM,1
TAEINT,1
TRIREC,1
VITRIP,2
ZIZAUR,1
>,
QUAD,22
ACRONYM,   COVER
ARITRI,3
CIRARV,5
EREHIE,2
ERIANS,2
ERICAN,5
OXAEUR,2
RUBFLA,8
SCRMAR,20
SMIECI,2
SOLDUL,5
SOLJUN,8
>,
QUAD,23
ACRONYM,   COVER
BIDFRO,3
CAMAME,14
CIRLUC,2
CIRARV,4
DAUCAR,2
ELYVIR,2
GEUCAN,5
HELHIR,4
HYSPAT,2
JUNTEN,2
MONFIS,5
OXAEUR,2
PENDIG,6
POACOM,2
POTSIS,1
QUECOC,1
RATPIN,2
RUBFLA,3
RUDSUB,6
RUDTRI,4
SOLALT,8
SOLULM,15
TAROFF,2
THADAD,7
TRAOHI,5
VITRIP,2
ZIZAUR,5
